year,Population,Homelessness
2005,0.0,0.0
2007,2.0228947781088285,2.6933688695358398
2009,4.083512434755911,4.6234905403516
2011,3.206816421378776,4.660206553614688
2013,2.9210689869484154,7.342007434944238
2015,6.55100209392761,9.784641370573686
2017,10.56398511308331,12.065520606357344
