year,geo_name,geo,income
2015,"Census Tract 254.01","14000US06075025401",88462.0
2015,"Census Tract 254.02","14000US06075025402",137721.0
2015,"Census Tract 254.03","14000US06075025403",73159.0
2015,"Census Tract 255","14000US06075025500",92216.0
2015,"Census Tract 256","14000US06075025600",73452.0
2015,"Census Tract 257.01","14000US06075025701",78708.0
2015,"Census Tract 257.02","14000US06075025702",60836.0
2015,"Census Tract 258","14000US06075025800",56250.0
2015,"Census Tract 259","14000US06075025900",87188.0
2015,"Census Tract 260.01","14000US06075026001",60938.0
2015,"Census Tract 260.02","14000US06075026002",84063.0
2015,"Census Tract 260.03","14000US06075026003",59792.0
2015,"Census Tract 260.04","14000US06075026004",65862.0
2015,"Census Tract 261","14000US06075026100",62652.0
2015,"Census Tract 262","14000US06075026200",75060.0
2015,"Census Tract 263.01","14000US06075026301",56531.0
2015,"Census Tract 263.02","14000US06075026302",72666.0
2015,"Census Tract 263.03","14000US06075026303",75096.0
2015,"Census Tract 264.01","14000US06075026401",46150.0
2015,"Census Tract 264.02","14000US06075026402",80395.0
2015,"Census Tract 264.03","14000US06075026403",50372.0
2015,"Census Tract 264.04","14000US06075026404",41890.0
2015,"Census Tract 301.01","14000US06075030101",79071.0
2015,"Census Tract 301.02","14000US06075030102",110433.0
2015,"Census Tract 302.01","14000US06075030201",89821.0
2015,"Census Tract 302.02","14000US06075030202",96547.0
2015,"Census Tract 303.01","14000US06075030301",109670.0
2015,"Census Tract 303.02","14000US06075030302",132417.0
2015,"Census Tract 304","14000US06075030400",150221.0
2015,"Census Tract 305","14000US06075030500",107824.0
2015,"Census Tract 306","14000US06075030600",145625.0
2015,"Census Tract 307","14000US06075030700",120308.0
2015,"Census Tract 308","14000US06075030800",131699.0
2015,"Census Tract 309","14000US06075030900",145363.0
2015,"Census Tract 310","14000US06075031000",122391.0
2015,"Census Tract 311","14000US06075031100",103838.0
2015,"Census Tract 312.01","14000US06075031201",74010.0
2015,"Census Tract 312.02","14000US06075031202",74576.0
2015,"Census Tract 313.01","14000US06075031301",95449.0
2015,"Census Tract 313.02","14000US06075031302",66658.0
2015,"Census Tract 314","14000US06075031400",59816.0
2015,"Census Tract 326.01","14000US06075032601",92846.0
2015,"Census Tract 326.02","14000US06075032602",70560.0
2015,"Census Tract 327","14000US06075032700",99712.0
2015,"Census Tract 328.01","14000US06075032801",83669.0
2015,"Census Tract 328.02","14000US06075032802",80610.0
2015,"Census Tract 329.01","14000US06075032901",83309.0
2015,"Census Tract 329.02","14000US06075032902",89568.0
2015,"Census Tract 330","14000US06075033000",82527.0
2015,"Census Tract 331","14000US06075033100",119861.0
2015,"Census Tract 332.01","14000US06075033201",22250.0
2015,"Census Tract 332.03","14000US06075033203",67713.0
2015,"Census Tract 332.04","14000US06075033204",43412.0
2015,"Census Tract 351","14000US06075035100",99226.0
2015,"Census Tract 352.01","14000US06075035201",77850.0
2015,"Census Tract 352.02","14000US06075035202",70058.0
2015,"Census Tract 353","14000US06075035300",73669.0
2015,"Census Tract 354","14000US06075035400",80260.0
